XRP,,,,LTC,,,,BTC,,,,ETH,,,,,,,,
Date,Open,,,Date,Open,,,Date,Open,,,Date,Open,,,,XRP,LTC,BTC,ETH
3/26/2018,0.642683,0.279427391,,3/26/2018,160.16,0.691328182,,3/26/2018,8498.47,0.60220731,,3/26/2018,524.29,0.693725521,,3/26/2018,0.279427391,0.691328182,0.60220731,0.693725521
3/27/2018,0.599026,0.260446087,,3/27/2018,148.96,0.642983554,,3/27/2018,8200,0.581057525,,3/27/2018,489.59,0.647811475,,3/27/2018,0.260446087,0.642983554,0.581057525,0.647811475
3/28/2018,0.577511,0.251091739,,3/28/2018,135.49,0.584840506,,3/28/2018,7836.83,0.555323054,,3/28/2018,450.29,0.595810839,,3/28/2018,0.251091739,0.584840506,0.555323054,0.595810839
3/29/2018,0.577767,0.251203043,,3/29/2018,131.93,0.569473821,,3/29/2018,7979.07,0.565402276,,3/29/2018,448.07,0.592873399,,3/29/2018,0.251203043,0.569473821,0.565402276,0.592873399
3/30/2018,0.513268,0.22316,,3/30/2018,114.8,0.495532438,,3/30/2018,7171.45,0.508173779,,3/30/2018,385.9,0.510611834,,3/30/2018,0.22316,0.495532438,0.508173779,0.510611834
3/31/2018,0.510617,0.222007391,,3/31/2018,118.64,0.512107739,,3/31/2018,6892.48,0.488405777,,3/31/2018,395,0.522652694,,3/31/2018,0.222007391,0.512107739,0.488405777,0.522652694
4/1/2018,0.513854,0.223414783,,4/1/2018,116.91,0.504640221,,4/1/2018,7003.06,0.49624155,,4/1/2018,397.25,0.52562983,,4/1/2018,0.223414783,0.504640221,0.49624155,0.52562983
4/2/2018,0.486067,0.211333478,,4/2/2018,115.24,0.497431692,,4/2/2018,6844.86,0.485031391,,4/2/2018,379.7,0.502408172,,4/2/2018,0.211333478,0.497431692,0.485031391,0.502408172
4/3/2018,0.501533,0.218057826,,4/3/2018,119.51,0.515863081,,4/3/2018,7102.26,0.503270929,,4/3/2018,387.31,0.512477506,,4/3/2018,0.218057826,0.515863081,0.503270929,0.512477506
4/4/2018,0.554569,0.241116957,,4/4/2018,133.91,0.57802046,,4/4/2018,7456.41,0.528366236,,4/4/2018,416.49,0.551087647,,4/4/2018,0.241116957,0.57802046,0.528366236,0.551087647
4/5/2018,0.50195,0.21823913,,4/5/2018,118.21,0.510251651,,4/5/2018,6848.65,0.485299953,,4/5/2018,379.95,0.502738965,,4/5/2018,0.21823913,0.510251651,0.485299953,0.502738965
4/6/2018,0.494781,0.215122174,,4/6/2018,118.81,0.512841542,,4/6/2018,6815.96,0.482983518,,4/6/2018,382.73,0.506417381,,4/6/2018,0.215122174,0.512841542,0.482983518,0.506417381
4/7/2018,0.476851,0.207326522,,4/7/2018,113.14,0.488367074,,4/7/2018,6630.51,0.469842406,,4/7/2018,370.38,0.490076215,,4/7/2018,0.207326522,0.488367074,0.469842406,0.490076215
4/8/2018,0.488227,0.212272609,,4/8/2018,116.29,0.501964001,,4/8/2018,6919.98,0.490354445,,4/8/2018,385.74,0.510400127,,4/8/2018,0.212272609,0.501964001,0.490354445,0.510400127
4/9/2018,0.501201,0.217913478,,4/9/2018,117.78,0.508395563,,4/9/2018,7044.32,0.499165261,,4/9/2018,400.86,0.530406478,,4/9/2018,0.217913478,0.508395563,0.499165261,0.530406478
4/10/2018,0.492134,0.213971304,,4/10/2018,115.21,0.497302197,,4/10/2018,6795.44,0.481529457,,4/10/2018,399.41,0.52848788,,4/10/2018,0.213971304,0.497302197,0.481529457,0.52848788
4/11/2018,0.492568,0.21416,,4/11/2018,114.29,0.493331031,,4/11/2018,6843.47,0.484932895,,4/11/2018,415.02,0.549142585,,4/11/2018,0.21416,0.493331031,0.484932895,0.549142585
4/12/2018,0.538657,0.234198696,,4/12/2018,118.29,0.51059697,,4/12/2018,6955.38,0.492862913,,4/12/2018,430.16,0.5691754,,4/12/2018,0.234198696,0.51059697,0.492862913,0.5691754
4/13/2018,0.630093,0.273953478,,4/13/2018,129.27,0.557991971,,4/13/2018,7901.09,0.559876561,,4/13/2018,493.16,0.652535196,,4/13/2018,0.273953478,0.557991971,0.559876561,0.652535196
4/14/2018,0.63738,0.277121739,,4/14/2018,125.22,0.540510208,,4/14/2018,7874.67,0.558004422,,4/14/2018,492.58,0.651767757,,4/14/2018,0.277121739,0.540510208,0.558004422,0.651767757
