X,r0,r2,r3,r5,r7,r10,r12,r17,r18,r23,r25,r28,r30,r32,r33,count
448,,,,5,,,12,,,,,,,,,2
449,,,3,,,10,,,18,,25,,,,,4
450,,,,5,7,10,,,,,25,,,,,4
451,,,,,,,,,,23,,,,,,1
452,,,,5,,,,,,,,28,,,,2
453,,,,,,10,,17,,,,,,,,2
454,,,,,,,,17,,,,,,,,1
455,,,,,,,,,,,,,,,,0
456,,,,5,7,,,,,,,,,,33,3
457,,,3,,,,,,,,,,,,,1
458,0,,,,7,,,,,,25,,,,,3
459,,,,,,,,,,,,,,,33,1
460,,,,,,,,,,23,,,,,33,2
461,,2,,,,,,,,,,,,32,,2
462,,,,,,,,,,23,25,,,,,2
463,,,,,,,12,,,23,25,,,,,3
464,,,,,,10,,,18,23,,28,,,,4
465,0,,,,,,,,,23,,,,32,33,4
466,0,,,,,,,,,,25,,,,,2
467,,,,,,,,,,,,,,,,0
468,,,3,,7,,,,18,,,,,,,3
469,,,,,,,12,,,,25,,,,,2
470,,2,,5,,,,,18,,,28,,,33,5
471,0,,3,,,,,,,,,,,,,2
472,,2,3,,,,,,,23,,,,,,3
473,,,3,,,,,,,,,,,,33,2
474,,,,,,,,,,,,28,30,,,2
475,,,,,,,,,,,,,,,,0
476,,,,5,,,,,,,,,,32,,2
477,,,,,,,,,,,,,,32,,1
478,,2,,,,,,,,23,,28,,,,3
479,,,,,,,,,,,,,,,,0
480,0,,,,,,,,,,,,,,,1
481,,,,,,,,17,18,,25,,,,33,4
482,,,,,,10,,,,,,,,,,1
483,,,,,,,12,17,,,,,,,,2
484,,,,,,,,,18,,,,,,33,2
485,,,,,,,,,,,25,,,,,1
486,0,,3,,7,,,,,23,,,,32,,5
487,,,,5,,,,,,23,,,,,,2
488,,,3,,,,,,,,,,,,33,2
489,,,,,,,12,,,,,,,,,1
490,,2,,5,,,,,,,,28,,32,,4
491,,,,,,,,,,,,,30,,,1
492,,,,,,,12,17,,,,,,,,2
493,,,,,,,,,,,,,,,,0
494,,,,,,,12,17,,,,,,,,2
495,,,3,5,7,,,,,23,,,,,33,5
496,,,,,,,12,,,,25,,,,,2
497,,2,,,,,,17,,,,,30,,,3
498,,,,,,,,17,,,,,30,,,2
499,,2,,,,10,,,,,,,,,,2
500,,,,,,,,,,,,,,,,0
501,,,3,,7,,,,,,25,,,,,3
502,,,,,,,,,18,,,,,,,1
503,,,,,,,,,,23,,,,,,1
504,,,,,,,,,,,,,,32,,1
505,,,,,,,12,,,23,,28,,,,3
506,,,3,,,10,,,,,,,,32,,3
507,,,,,,,12,,,,25,,,32,,3
508,,,,,,,12,17,,,,,30,,,3
509,,,,,,,12,,,,,,30,,,2
510,0,,,,,,,,,,,,,,,1
511,,,,,,,,,,,,,,,33,1
512,,,,,,,,,,,,,,,33,1
513,,,,,,,,,18,,,,,,,1
514,,,,,,,12,,,,,28,,,,2
515,,,,,7,,,,,23,,,,,,2
516,,,3,,,,,17,,23,,,,,,3
517,,,,,,,,,,23,,,,,,1
518,,2,,,,,,17,,,,28,30,,,4
519,,,,,,,,,,,25,,30,,,2
520,0,,,,,,,,,,,,,,,1
521,,,,,7,10,,,18,,,,,,,3
522,0,,,,7,,,,,,,,,,,2
523,0,2,3,,,,,,,,,,,,,3
524,,,,,,,,,,,,,,,,0
525,,,,,,,12,,,,,,,,,1
526,,,3,,7,,,,18,,,,,,,3
527,,,,,,10,,,,,25,,,,,2
528,0,,,,7,,,,,,25,,,,,3
529,,,,5,,,,,,23,,,30,,,3
530,,,,,,,,,,,,,,32,,1
531,,,,,,,,,,,,,,,,0
532,,2,,,,10,,,18,,25,,,,,4
533,,,,,,,,,,23,,,,,,1
534,,,,,,,,,18,,25,,,,33,3
535,,2,,,,,,,,,,,,,,1
536,,2,,,7,,,,,,,,,,33,3
537,,,,,,,,,,,25,,,,,1
538,,,,,7,10,,17,,,,28,30,32,,6
539,,,,,,,,,,23,,28,,32,,3
540,,,,,,,,,,23,,,,,,1
541,,2,,,,,,,18,,25,28,,,,4
542,,,,,,,,,,,,,,,,0
543,,2,,,,,,,,,,28,,,,2
544,,,,,,,,,,,,,,,,0
545,,,,,,,,,,,25,,,32,,2
546,0,,,5,,,,,,23,,,,,,3
