lendiff1,lendiff2,lendiff3,lendiff4,lendiff5,lendiff6,lendiff7,lendiff8,lendiff9,lendiff10,lendiff11,lendiff12
37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086
-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512
70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697
-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166
17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346
-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354
87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129
-25.10293342,-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742
-3.834195387,-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184
-4.609666043,5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397
5.836265545,9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915
9.795549086,-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477
-25.92536512,33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915
33.69342697,-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765
-24.51895166,-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173
-29.52728346,62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953
62.51146354,-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149
-15.61991129,-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211
-58.19302742,80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038
80.23513184,-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172
-24.95444397,-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048
-14.18830915,12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425
12.08276477,-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946
-47.96585915,85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329
85.78826765,-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117
-52.50686173,-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433
-9.178366953,25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736
25.77882149,-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736,-47.01453613
-10.24473211,9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736,-47.01453613,45.78194072
9.441987038,17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736,-47.01453613,45.78194072,-23.83536879
17.07928172,-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736,-47.01453613,45.78194072,-23.83536879,24.91947475
-68.37518048,33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736,-47.01453613,45.78194072,-23.83536879,24.91947475,-36.94945953
33.84943425,36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736,-47.01453613,45.78194072,-23.83536879,24.91947475,-36.94945953,24.76702369
36.63305946,-10.21137329,-46.68639117,40.21909433,6.875514736,-47.01453613,45.78194072,-23.83536879,24.91947475,-36.94945953,24.76702369,24.44689043
